ImageName,Bicycle,Bridge,Bus,Car,Chimney,Crosswalk,Hydrant,Motorcycle,Other,Palm,Stair,Traffic Light
03000.png,-4.601078,-0.45878336,-0.5785588,11.870316,-2.6834593,-8.768718,0.7842204,-1.1960511,4.944483,1.5554286,-2.506266,-3.508418
03001.png,1.295403,-5.0415406,-6.9398212,8.983872,-4.8924184,2.9803689,-4.167792,-6.5897045,3.2898152,-3.7697763,-5.02001,3.427185
03002.png,-4.032143,1.8497255,-0.121946365,13.908438,-4.240604,-0.33355057,-4.473417,-4.6877284,-1.1509323,-2.3550444,-4.909081,-4.5826035
03003.png,-2.9768395,1.8748076,14.299445,1.9527855,-2.2855709,-6.9596505,-5.318416,-2.9123998,-0.7952802,0.9796291,-4.204701,-1.3369764
03004.png,-2.0034413,-4.437821,0.29344943,11.899749,-3.6925712,4.589456,-4.8199773,-3.6734693,2.9603803,-3.9320066,-1.288774,-5.6585417
03005.png,-2.771243,-2.4118385,-2.867449,12.80002,-5.303503,-1.0907857,-5.7221537,-4.0636525,0.6395611,5.248677,-6.4872694,-3.714754
03006.png,-1.4184115,-2.4878407,-2.4533677,12.660177,-4.726279,-0.27763298,-4.281582,-2.2866035,0.61811584,2.7010808,-6.4258,-4.2486534
03007.png,0.03474921,2.5591567,3.3028011,11.528032,-4.3635483,-9.191703,-2.0999184,-1.4275959,1.5358864,0.6050565,-4.1484623,-4.4875884
03008.png,10.122511,-2.0790703,-2.1493955,-1.5069902,-1.191107,-2.9946773,-3.6585793,-0.21269551,4.2768707,-3.6181839,0.42867884,-3.3736048
03009.png,-2.3915803,-4.850887,-5.2817984,14.026857,-5.5596824,6.522927,-2.1100576,-2.9242911,-4.3441553,-2.773118,-4.662219,2.3549802
03010.png,-0.43275875,-1.504428,19.508211,1.1332285,-0.5025319,-3.7210846,-2.2439568,-3.1102643,-1.1906615,-3.0479374,-1.0926883,-2.5340178
03011.png,-3.3225954,1.9720769,0.6615679,19.409773,-4.404589,-2.8282917,-1.8196852,-2.624037,-2.6919591,-1.0337379,-4.4769845,-6.555631
03012.png,-4.804542,-2.2549083,0.45176506,15.901152,-3.001173,-6.592327,0.15391624,-1.4274281,3.2339578,-0.971814,-2.5652702,-2.6767747
03013.png,-4.8961334,-0.8360228,-2.2705674,6.31464,-5.057715,-1.4133601,-3.6379194,-2.2716365,10.907025,-3.4439132,-3.0498602,-3.925535
03014.png,1.4112173,-5.2783027,-0.9910092,15.544992,-5.654469,-1.5595931,-0.85638183,-1.2072127,-0.34576392,1.578148,-3.87285,-9.208487
03015.png,-2.407401,-3.5993617,5.116756,-5.130242,-1.1423244,-8.7453165,-4.0845776,-3.07989,9.277759,11.832131,-2.1270823,3.0446548
03016.png,-0.93557745,-1.9082413,16.301725,-0.5996928,-2.5136995,0.12924072,-4.6476226,-3.2856977,-2.0573902,-0.91471785,-3.3122032,-2.9297545
03017.png,-5.2020655,6.7321877,-3.3665264,8.26383,-1.8385897,-3.059492,-5.4594383,-3.0856087,3.8480237,-3.2145362,-4.791407,-0.2016525
03018.png,2.1621287,-6.2571692,-2.5752707,-5.1228867,1.4030763,21.766184,-3.2471883,-2.8300772,-4.492519,-4.233168,2.9521756,-4.160917
03019.png,0.48469132,-7.2064357,-2.5413284,-7.017766,3.50971,26.73264,-2.3707001,-3.349571,-3.6782992,-8.568949,3.0846534,0.09945784
03020.png,-1.4555986,-4.322043,-4.1255302,-4.237638,0.029051602,21.434298,-3.0837307,-3.4775798,-2.1684792,-5.21278,1.6081755,1.409294
03021.png,-1.3175311,-1.5075581,17.421146,2.5266666,-4.521895,-3.91449,-5.964471,-4.437452,-1.5773046,-0.33493644,-1.9423109,-2.6881394
03022.png,-3.0748684,-3.7332745,-4.5583286,13.820233,-3.5834892,-0.70577955,-2.68211,-3.29623,1.3059257,-0.60213524,-5.1324277,-2.5075104
03023.png,-6.682429,0.23331878,-2.040571,2.9193738,-3.2694602,5.9552703,-1.4732463,-5.9674997,-3.8087814,-4.528103,-1.2639142,13.905526
03024.png,-3.0324612,-0.3513828,-2.1140943,13.273696,-4.4473987,-0.7996782,-3.3430336,-4.4542513,0.42141604,0.7997003,-5.712937,-0.048443884
03025.png,-3.7095416,-1.8740246,1.9328732,14.756416,-5.719436,-10.843191,-3.7130854,-4.5318613,5.854511,2.4413903,-3.5475059,-8.159255
03026.png,2.850229,-6.7901497,-1.6042761,0.28512314,-1.0751836,-0.59266376,2.1689074,-0.25531444,8.800782,-2.7975037,5.9874945,-7.387551
03027.png,-2.6774044,-2.2145076,-1.6019036,13.570113,-5.0805054,-1.3788484,-5.6439877,-4.328625,1.593385,0.55073494,-5.1835465,-4.977694
03028.png,0.18241532,-4.8699684,-4.108227,16.920652,-4.265761,1.1295418,-5.0330043,-4.112222,-1.1522896,2.5347054,-3.4669034,-8.626822
03029.png,-4.1346445,5.9537354,3.6309466,-6.449571,1.9954507,-6.8937163,-0.18322581,0.08964297,11.5695305,0.2934202,1.007377,-4.2473245
03030.png,1.725644,-3.219692,0.3399157,-2.0798504,4.202531,-4.786791,17.928934,2.0414507,2.970381,-6.1123195,5.3496394,-0.46632868
